"id","locationId","locationName","type","description","messageDate","date","amount","balance","totalBalance","creditsUsed","originalAmount","discountAmount"
"68be9ba49d9528e4c23571bf","czuCHTUCqPoTp6pJoHB7","Armani Developments Sdn Bhd","Workflow - Premium Features","Workflow Pro Plan — Free Tier (inbound_webhook)","-","Sep 8th 2025, 05:02:29 PM",0,"425.076360","425.076360","0.000000",0,0
"68be9b64e5ec2465e6d9284c","05h0PSv7qslciXXdmieo","Sunsuria Berhad (HQ)","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 05:01:26 PM",0.01,"425.076360","425.076360","0.000000",0.01,0
"68be9ae3e5ec2480aed8692e","05h0PSv7qslciXXdmieo","Sunsuria Berhad (HQ)","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:59:15 PM",0.01,"425.086360","425.086360","0.000000",0.01,0
"68be9ae1fa567c3cc0da8ad3","ZGtHSLAGOT83yj6W1pDG","Bangsar Hill Park (Sunsuria)","WhatsApp Marketing Messages","whatsapp_marketing_message ref: wamid.HBgMNjAxMTYyMzk3NzE0FQIAERgSQkUxMERDQTNBOUMzM0NDQTlGAA==","-","Sep 8th 2025, 04:59:14 PM",0.0903,"425.096360","425.096360","0.000000",0.0903,0
"68be9acf5d3b63d12584f4a1","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:58:55 PM",0.01,"425.186660","425.186660","0.000000",0.01,0
"68be9acf9d69e411430fbba2","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:58:55 PM",0.01,"425.196660","425.196660","0.000000",0.01,0
"68be9a8c5f6caee990669745","WphrMU0x3Ocd2pEpBJcH","Demo","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:57:48 PM",0.01,"425.206660","425.206660","0.000000",0.01,0
"68be9a7ae5ec2469fad82f46","05h0PSv7qslciXXdmieo","Sunsuria Berhad (HQ)","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:57:30 PM",0.01,"425.216660","425.216660","0.000000",0.01,0
"68be9a060525f115dd79f939","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:55:35 PM",0.01,"425.226660","425.226660","0.000000",0.01,0
"68be9a065d3b636a3084999b","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:55:34 PM",0.01,"425.236660","425.236660","0.000000",0.01,0
"68be99e79d952801a533a3cc","05h0PSv7qslciXXdmieo","Sunsuria Berhad (HQ)","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:55:04 PM",0.01,"425.246660","425.246660","0.000000",0.01,0
"68be998bd6cbf5230cb9cb2b","WphrMU0x3Ocd2pEpBJcH","Demo","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:53:31 PM",0.01,"425.256660","425.256660","0.000000",0.01,0
"68be9984da55c1fa237b9cf3","05h0PSv7qslciXXdmieo","Sunsuria Berhad (HQ)","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:53:24 PM",0.01,"425.266660","425.266660","0.000000",0.01,0
"68be98cde5ec247e39d787c1","jH41Z47TXtote3u6rh92","OCR Group Berhad","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:50:21 PM",0.01,"425.276660","425.276660","0.000000",0.01,0
"68be98c7da55c111d87b5902","05h0PSv7qslciXXdmieo","Sunsuria Berhad (HQ)","Workflow - Premium Features","Workflow - Premium Features (inbound_webhook)","-","Sep 8th 2025, 04:50:15 PM",0.01,"425.286660","425.286660","0.000000",0.01,0
