"id","locationId","locationName","type","description","messageDate","date","amount","balance","totalBalance","creditsUsed","originalAmount","discountAmount"
"68864449bde676debdea76c7","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 11:22:49 PM",0.01,"544.233080","544.233080","0.000000",0.01,0
"6886444997e706aa8c2fc96e","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 11:22:49 PM",0.01,"544.243080","544.243080","0.000000",0.01,0
"688637dead084cae57ef49bc","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:29:51 PM",0.01,"544.253080","544.253080","0.000000",0.01,0
"688637de1d47b07c25e4a466","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:29:50 PM",0.01,"544.263080","544.263080","0.000000",0.01,0
"688637b197e7064d391eb145","A3k6CQJPTZBR3jvZ0Fp9","Supreme Springs Sdn. Bhd.","WhatsApp Marketing Messages","whatsapp_marketing_message ref: wamid.HBgLNjAxMjYwODg5ODAVAgARGBIxQ0E5QTc2NzIzRUJBNkVDRTIA","-","Jul 27th 2025, 10:29:05 PM",0.0903,"544.273080","544.273080","0.000000",0.0903,0
"6886379bff6aab394d053e3e","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:28:43 PM",0.01,"544.363380","544.363380","0.000000",0.01,0
"6886379bff6aab2812053e32","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:28:43 PM",0.01,"544.373380","544.373380","0.000000",0.01,0
"6886379a4fc4ee3a245b5a27","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:28:42 PM",0.01,"544.383380","544.383380","0.000000",0.01,0
"6886379af02889badd6687df","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:28:42 PM",0.01,"544.393380","544.393380","0.000000",0.01,0
"68863793bde6761dd8d940c4","A3k6CQJPTZBR3jvZ0Fp9","Supreme Springs Sdn. Bhd.","WhatsApp Marketing Messages","whatsapp_marketing_message ref: wamid.HBgLNjAxMjYwODg5ODAVAgARGBI0MThFRUQwMDEyN0I3RERDOTEA","-","Jul 27th 2025, 10:28:35 PM",0.0903,"544.403380","544.403380","0.000000",0.0903,0
"688637894fc4ee3c7c5b47bd","A3k6CQJPTZBR3jvZ0Fp9","Supreme Springs Sdn. Bhd.","WhatsApp Marketing Messages","whatsapp_marketing_message ref: wamid.HBgLNjAxMjYwODg5ODAVAgARGBJGREE2OTIyMEQ0RjM2QUE0OUUA","-","Jul 27th 2025, 10:28:26 PM",0.0903,"544.493680","544.493680","0.000000",0.0903,0
"6886376c5891c19b82874956","A3k6CQJPTZBR3jvZ0Fp9","Supreme Springs Sdn. Bhd.","WhatsApp Marketing Messages","whatsapp_marketing_message ref: wamid.HBgLNjAxMjYwODg5ODAVAgARGBIzMkM5NzFEODMzNTk3QjgxMDAA","-","Jul 27th 2025, 10:27:56 PM",0.0903,"544.583980","544.583980","0.000000",0.0903,0
"688635154fc4ee1d1a587a1a","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:17:59 PM",0.01,"544.674280","544.674280","0.000000",0.01,0
"68863514443ba9563a6fd143","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:17:57 PM",0.01,"544.684280","544.684280","0.000000",0.01,0
"688635124fc4ee419a58763d","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:17:55 PM",0.01,"544.694280","544.694280","0.000000",0.01,0
"68863512f028896f8d639b78","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:17:55 PM",0.01,"544.704280","544.704280","0.000000",0.01,0
"688633bcbde676c4acd42eb8","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:12:13 PM",0.01,"544.714280","544.714280","0.000000",0.01,0
"688633bc1d47b0252adf5e5b","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:12:12 PM",0.01,"544.724280","544.724280","0.000000",0.01,0
"688633b834d5d89b2ffd85ee","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:12:08 PM",0.01,"544.734280","544.734280","0.000000",0.01,0
"688633b84fc4ee44b1563921","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 10:12:08 PM",0.01,"544.744280","544.744280","0.000000",0.01,0
"68863012443ba9aa346482ac","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 09:56:34 PM",0.01,"544.754280","544.754280","0.000000",0.01,0
"68863012ad084cc99ce0c687","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 09:56:34 PM",0.01,"544.764280","544.764280","0.000000",0.01,0
"6886300ff02889a793587653","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 09:56:31 PM",0.01,"544.774280","544.774280","0.000000",0.01,0
"6886300f443ba9046b648105","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 09:56:31 PM",0.01,"544.784280","544.784280","0.000000",0.01,0
"68862db3bde676a593c99c96","tCDIsdPF3Em8dZW3fc0B","MKH Berhad","LC - Premium Triggers & Actions and Workflow AI","LC - Premium Triggers & Actions (inbound_webhook)","-","Jul 27th 2025, 09:46:27 PM",0.01,"544.794280","544.794280","0.000000",0.01,0
